User_id,Long,Lat,Time
501,72.9762734199,19.1860944862,6
502,72.9762626263,19.1861274854,6
503,72.9763747344,19.186160194,6
504,72.976385528,19.1861271948,6
505,72.9762734199,19.1860944862,6
506,72.9762969395,19.1861013836,6
507,72.976286146,19.1861343828,6
508,72.976398254,19.1861670914,6
509,72.9764090476,19.1861340922,6
510,72.9762969395,19.1861013836,6
511,72.9763123126,19.1861047999,6
512,72.976301519,19.1861377991,6
513,72.976413627,19.1861705077,6
514,72.9764244206,19.1861375085,6
515,72.9763123126,19.1861047999,6
516,72.9763602404,19.1861201731,6
517,72.9763494468,19.1861531723,6
518,72.9764615549,19.186185881,6
519,72.9764723485,19.1861528817,6
520,72.9763602404,19.1861201731,6
521,72.9764108812,19.1861364004,6
522,72.9764000876,19.1861693997,6
523,72.9765121956,19.1862021083,6
524,72.9765229892,19.1861691091,6
525,72.9764108812,19.1861364004,6
526,72.9764298714,19.1861406708,6
527,72.9764190778,19.18617367,6
528,72.9765311858,19.1862063786,6
529,72.9765419794,19.1861733794,6
530,72.9764298714,19.1861406708,6
531,72.9764533832,19.1861475033,6
532,72.9764425896,19.1861805026,6
533,72.9765546976,19.1862132112,6
534,72.9765654912,19.186180212,6
535,72.9764533832,19.1861475033,6
536,72.9764425896,19.1861805026,6
537,72.9765546976,19.1862132112,6
538,72.9765654912,19.186180212,6
539,72.9764533832,19.1861475033,6
540,72.9764759906,19.1861534818,6
541,72.976465197,19.1861864811,6
542,72.9765773051,19.1862191897,6
543,72.9765880986,19.1861861905,6
544,72.9764759906,19.1861534818,6
545,72.9764976937,19.1861603144,6
546,72.9764869001,19.1861933136,6
547,72.9765990082,19.1862260222,6
548,72.9766098017,19.186193023,6
549,72.9764976937,19.1861603144,6
550,72.9765212055,19.1861662929,6
551,72.9765104119,19.1861992921,6
552,72.97662252,19.1862320007,6
553,72.9766333136,19.1861990015,6
554,72.9765212055,19.1861662929,6
555,72.9765504167,19.1861748509,6
556,72.9765390757,19.1862095236,6
557,72.9766511838,19.1862422323,6
558,72.9766625248,19.1862075595,6
559,72.9754351412,19.1859109492,6
560,72.9754235945,19.1859488306,6
561,72.9755539523,19.1859842739,6
562,72.9755654991,19.1859463925,6
563,72.9754351412,19.1859109492,6
564,72.9754495305,19.1858618158,6
565,72.9754379838,19.1858996973,6
566,72.9755683417,19.1859351406,6
567,72.9755798884,19.1858972592,6
568,72.9754495305,19.1858618158,6
569,72.9754307486,19.1858976846,6
570,72.9754257733,19.1859140071,6
571,72.9755561312,19.1859494505,6
572,72.9755611065,19.185933128,6
573,72.9754307486,19.1858976846,6
574,72.9755829571,19.1859016555,6
575,72.9755702058,19.1859434888,6
576,72.9757005637,19.1859789322,6
577,72.975713315,19.1859370988,6
578,72.9755829571,19.1859016555,6
579,72.9755694919,19.185947207,6
580,72.9755571062,19.1859878409,6
581,72.975687464,19.1860232842,6
582,72.9756998498,19.1859826504,6
583,72.9755694919,19.185947207,6
584,72.9757294183,19.1859841239,6
585,72.9757159581,19.1860282829,6
586,72.975846316,19.1860637262,6
587,72.9758597762,19.1860195672,6
588,72.9757294183,19.1859841239,6
589,72.975860029,19.1859757607,6
590,72.9758465687,19.1860199197,6
591,72.9758699908,19.1860280303,6
592,72.9758580888,19.1860670771,6
593,72.9759884466,19.1861025204,6
594,72.9760003486,19.1860634736,6
595,72.9759976085,19.1860629935,6
596,72.9761160644,19.1861374836,6
597,72.9761283372,19.1860547377,6
598,72.9761043594,19.1861334018,6
599,19.1858430542,19.186090181,6
600,72.9754100756,19.1858627095,6
601,72.9753697052,19.1858511922,6
602,72.9753234842,19.185850353,6
603,72.9752703535,19.18583758,6
604,72.9752631084,19.1858430542,6
605,72.9752510332,19.18583758,6
606,72.9752515162,19.1858389486,6
607,72.9752428221,19.1858207014,6
608,72.9752292979,19.1858074722,6
609,72.9752078937,19.1858814436,6
610,72.97538067,19.1859224171,6
611,72.9753684814,19.1859000335,6
612,72.9753962442,19.185930731,6
613,72.9754212985,19.1858667779,6
614,72.9753325929,19.1858405571,6
615,72.9752479502,19.1858482315,6
616,72.977546929,19.1865215305,6
617,72.9772322871,19.1863848127,6
618,72.9771296868,19.1863511523,6
619,72.9769558063,19.1862981115,6
620,72.977185847,19.1863705326,6
