long,lat
72.97553458,19.18560483
72.97550823,19.18560483
72.97543483,19.18585012
72.97520145,19.18578613
72.97517543,19.18588085
72.97539743,19.18594227
72.97529428,19.18631502
72.97532792,19.18632349
72.97542883,19.18595074
72.9762249,19.186171
72.97612175,19.18650563
72.97614866,19.18651199
72.97625406,19.18617736
72.97671825,19.18630443
72.97661958,19.18662212
72.97664649,19.18662847
72.97674516,19.18631079
72.97695595,19.18637009
72.97697837,19.18628961
72.97678104,19.18623242
72.97690437,19.18586391
72.97687746,19.18585755
72.97675188,19.18622183
72.97628545,19.18610111
72.97640879,19.18571353
72.97638188,19.18570506
72.9762563,19.18608629
72.97546022,19.18585967
